id;channel_id;channel;judul;trending_date;tags;upload_date;views;likes;dislikes;comments;thubmnail_link;description
QnyPZqw9Nfk;UC6FjcBcH9NVHdfFSvNfHmuA;KUY Entertainment;SEMPROD: GADING & UUS SALTING KEDATANGAN ARIEL TATUM !! ANDHIKA & BORIS SHOCK DISIDAK RAFFI AHMAD !!;21.24.07;"""KUY Entertainment|KUY Media|KUY|SEMPROD|SEMPROD KUY|semprod gofar hilman|andhika pratama|andhika pratama lapor pak|Uus|uus arap|uus kamukita|boris bokir|boris bokir angel karamoy|gading marten|gading marten dan ariel tatum|gading marten persikota|ariel tatum|ariel tatum lapor pak|ariel tatum tonight show|ariel tatum mental illness|raffi nagita|raffi ahmad|Raffi KUY|Gading Raffi""";2021-07-21T12:00:10Z;775646;19996;337;734;https://i.ytimg.com/vi/QnyPZqw9Nfk/default.jpg;-
ziW2vbiD6ng;UC8t925VdEYkPkNrgAc9TTUw;FORTUNA ENTERPRISE;HAPPY ASMARA FT DELVA - MISTER MENDEM ( Official Music Video );21.24.07;"""happy asmara|denny caknan|dj santuy|dj kentrung|fortuna enterprise|drm|delva|mister mendem|happy asmara terbaru|denny caknan happy asmara|hepi asmara terbaru|lagu happy asmara|happy asmara denny caknan|happy asmara satru|koplo|mister mendem koplo|mister mendem karaoke|mister mendem lirik|mala aghata|musik koplo|maska music|happy asmara lemah teles|happy asmara cidro 2|happy asmara ldr|happy asmara tak ikhlasno|happy asmara putus sama denny caknan""";2021-07-21T08:00:14Z;338986;11973;227;2487;https://i.ytimg.com/vi/ziW2vbiD6ng/default.jpg;-
BqYKnyyBEEY;UC0hu5W5Ne6JrDDwH77nc_jg;Global Musik Era Digital;Yeni Inka ft New Pallapa - Haruskah Aku Mati (Official Live Music);21.24.07;"""yeni inka|haruskah aku mati|yeni inka terbaru|yeni inka haruskah aku mati|global musik|new pallapa|yeni inka ft new pallapa|new pallapa terbaru 2021|haruskah aku mati koplo|haruskah aku mati arief|yeni inka terbaru 2021|haruskah aku mati yeni inka|new pallapa terbaru|haruskah aku mati lirik|aku sekuat hati bertahan kamu sebisa nya menghancur""";2021-07-17T02:00:17Z;1684921;22138;910;4900;https://i.ytimg.com/vi/BqYKnyyBEEY/default.jpg;-
gvE_LTIJnKE;UCEHprhvK2xu0CYKcnbMshBw;WARINTIL OFFICIAL;QURBAN || KONTRAKAN REMPONG EPISODE 358;21.24.07;"""[none]""";2021-07-21T03:00:10Z;2419748;74808;2614;4088;https://i.ytimg.com/vi/gvE_LTIJnKE/default.jpg;-
RSO1G7Okfac;UCaKLg1ELiX0zTJ6Je3c5esA;AH;Alhamdulillah dapet GRANDUNG 1.4 TON 🖤;21.24.07;"""[none]""";2021-07-18T12:00:16Z;2512161;96116;7208;20546;https://i.ytimg.com/vi/RSO1G7Okfac/default.jpg;-
1pY_Q94n1e0;UC-S7cyZCojMeVopBkH6yNEw;123 GO! CHALLENGE Indonesian;PILIH KOTAK MISTERI YANG TEPAT || Tantangan Minuman TikTok! COBA TAHAN KETAWA oleh 123 GO! CHALLENGE;21.24.07;"""123 go|123 go challenge|123go|123go challenge|123go challenge indonesia|challenge indonesia|jail|lucu|seru|tantangan|tantangan 123 go|tantangan 123go""";2021-07-23T10:00:01Z;253002;2933;376;140;https://i.ytimg.com/vi/1pY_Q94n1e0/default.jpg;-
PW2FPuZfJJc;UC0hu5W5Ne6JrDDwH77nc_jg;Global Musik Era Digital;Yeni Inka ft New Pallapa - Lemah Teles (Official Live Music);21.24.07;"""lemah teles|yeni inka|yeni inka lemah teles|new pallapa|new pallapa terbaru|yeni inka terbaru|global musik|live new pallapa|lemah teles koplo|lemah teles yeni inka|lemah teles cover|lemah teles lirik|lemah teles story wa|lemah teles karaoke|new pallapa 2021""";2021-07-22T02:00:14Z;461569;7640;236;1553;https://i.ytimg.com/vi/PW2FPuZfJJc/default.jpg;-
0x0ju_kNvhY;UCZIEmkvbSV8wBVWnP4wgftA;Kisah Tanah Jawa;Fenomena Keranda Terbang Dan Ketok Pintu;21.24.07;"""#KisahTanahJawa|#OmHao|#Jawa|#PulauJawa|#Horor|#Misteri|#Mitos|#AlasRoban|#AlasPurwo|Om Hao|Kisah Tanah Jawa|Misteri|alas roban|alas purwo|mitos|misteri|pulau jawa|cerita pulau jawa|kisah mistis|#omhao|kisah tanah jawa|om hao|lampor|ketuk pintu|keranda terbang""";2021-07-17T14:00:01Z;2580647;63884;1481;6342;https://i.ytimg.com/vi/0x0ju_kNvhY/default.jpg;-
JEoubjE2PBQ;UC14UlmYlSNiQCBe9Eookf_A;FC Barcelona;HIGHLIGHTS | Barça Legends 2-3 Real Madrid Leyendas;21.24.07;"""FC Barcelona|برشلونة،|Fútbol|FUTBOL|soccer|FUTEBOL|Sepakbola|サッカー|كرة القدم|football|FCB|Barça|Sport|Club|Barcelona|CAMP NOU|ter stegen|pique|busquets|messi|goat|leo messi|dembele|neto|lenglet|griezmann|antoine griezmann|yt:cc=on|ansu fati|riqui puig|koeman|trincao|coutinho|pedri|Ronaldinho|Legends|Real Madrid|Madrid|Leyendas|Highlights|resumen|resum|skills|goals|gols|goles|gol|goal|Munitis|Alfonso|De La Red|Figo|Rivaldo|Deco|Iker|Casillas|Ronaldo|Roberto Carlos|Saviola""";2021-07-20T19:53:48Z;3821062;97002;1678;2984;https://i.ytimg.com/vi/JEoubjE2PBQ/default.jpg;-
6OaCqGBvohc;UCzCedBCSSltI1TFd3bKyN6g;EXO;D.O. 디오 '공감' Highlight Medley;21.24.07;"""EXO|엑소|엑소케이|엑소엠|exok|exom""";2021-07-23T09:00:02Z;887661;289952;323;37962;https://i.ytimg.com/vi/6OaCqGBvohc/default.jpg;-
fggePACaz0I;UCHpZSZi1rkM7NiayhxXw-cw;MyMusic Records;Ade Govinda feat. Fadly – Cukup Lebih Baik (Official Music Video);21.24.07;"""MyMusic|My Music|Music Video|Official Clip|MyMusic Event|MyMusic Update|new release|music|indonesia|trending|lagu|music label|cakra khan|astrid|uya|raffi ahmad|anji|mikha tambayong|ucie sucita|dangdut|pop|govinda|syahrini|tanpa batas waktu|ikatan cinta|cukup lebih baik|ade|fadly|official|video""";2021-07-22T09:00:14Z;741630;17774;158;1890;https://i.ytimg.com/vi/fggePACaz0I/default.jpg;-
Um9rH_-ZLzc;UCWQaDiVUXywva_9my1DTJ5A;A Plus School;OMG! My Kid Cut My Hair! 😱 #Shorts;21.24.07;"""5-Minute Crafts|A Plus School|school days|back to school|challenge|challenges|DIY|Do it yourself|crafts|trucos|5 minutes craft|life hacks|5 minute craft|proyectos faciles|useful things|lifehacks|tricks|tips|DIY projects|DIY activities|Handcraft|Tutorial|howto|how to|school|school hacks|school tricks|school life""";2021-07-13T20:51:10Z;23816369;1071907;59612;1374;https://i.ytimg.com/vi/Um9rH_-ZLzc/default.jpg;-
cRBTSLwLRrk;UC4x-hPeNK61k61xgChcVGNA;New Pallapa Official;New Pallapa Official | Tri Suaka Feat Lala Widi | Cerito Loro  | Album Terkoplo 2021;21.24.07;"""new pallapa official|new pallapa official music video|new pallapa official live music|Cerita loro|Tri Suaka|Lala Widi|lala widi terbaru 2021|tri suaka full album|tri suaka feat lala widi new pallapa|cerita loro koplo|Koplo|album koplo terbaru 2021|Album terkoplo 2021|cak met lagu terbaru 2021|kendang koplo terbaik|kendang koplo|tole cempe|SNP INDONESIA|saudara new pallapa|pragita prabawa pustaka|pragita hiza indonesia|pragita publishing""";2021-07-20T02:00:11Z;409992;8570;326;3092;https://i.ytimg.com/vi/cRBTSLwLRrk/default.jpg;-
G2tDBglKH7w;UCo8h2TY_uBkAVUIc14m_KCA;Najwa Shihab;Curhat Emak-Emak Cari Nafkah, Dilema Aparat di Lapangan - Dilema Negeri +62 (Part 2) | Mata Najwa;21.24.07;"""najwa shihab|mata najwa|narasi|narasi entertainment|narasi newsroom|narasi talks|narasi stories|narasi people|talkshow|talk show|najwa|shihab|shihab & shihab|catatan najwa|jurnalis|aparat|polisi|satpol pp|pedagang|penjual|ppkm darurat|pandemi""";2021-07-14T23:01:01Z;3407304;52125;2062;17823;https://i.ytimg.com/vi/G2tDBglKH7w/default.jpg;-
rMePfW-C7bc;UCaAE5pyrskvGdHmypXxqncA;LyodraVEVO;Lyodra - Kalau Bosan (Official Music Video);21.24.07;"""#Lyodra|#KalauBosan|#LyodraAlbum|#LyricVideo|#indonesianidol|#laguterbaruindonesia|#lagubaruindonesia|#lyodraidol|#lyodraginting|#lyodraindonesianidol|#LaguIndonesiaTerbaik|#PopIndonesia|#Ghosting""";2021-07-15T17:00:13Z;3403691;144444;1565;73008;https://i.ytimg.com/vi/rMePfW-C7bc/default.jpg;-
0HBH6WXicRM;UCaxIsKnhxr6bfaJFQc67-rg;ShanghaiEye魔都眼;EXCLUSIVE! Aerial view shows central China's Zhengzhou besieged by floods;21.24.07;"""Shanghai|Shanghaieye|China|Dragon TV|Kankanews|上海|中国|东方卫视|看看新闻|Shanghai TV|上海电视台|魔都眼|看看|魔都|SMG|Shanghai Media Group|Zhengzhou flooding|floods|torrential rains|downpours|typhoon|death toll|rescue|PLA|dead|metroes|elevated ways|exclusive|drone|aerial view""";2021-07-21T07:13:01Z;566971;4274;356;1794;https://i.ytimg.com/vi/0HBH6WXicRM/default.jpg;-
jvrmwvPTieQ;UCaAE5pyrskvGdHmypXxqncA;LyodraVEVO;Lyodra - Kalau Bosan (Official Lyric Video);21.24.07;"""#Lyodra|#KalauBosan|#LyodraAlbum|#LyricVideo|#indonesianidol|#laguterbaruindonesia|#lagubaruindonesia|#lyodraidol|#lyodraginting|#lyodraindonesianidol|#LaguIndonesiaTerbaik|#PopIndonesia|#Ghosting""";2021-07-20T17:00:34Z;354309;25792;149;2985;https://i.ytimg.com/vi/jvrmwvPTieQ/default.jpg;-
9YPX7WjPDp8;UC1COz5-ymC7FALbIPii5dwQ;Lyodra - Topic;Pesan Terakhir;21.24.07;"""Lyodra|Pesan Terakhir""";2021-07-15T10:06:00Z;1474964;89023;665;0;https://i.ytimg.com/vi/9YPX7WjPDp8/default.jpg;-
STiGm6k8M_I;UC_nVG23zK0hZUxJXEhArTkw;Multi DO Indonesian;Siapa yang melukis paling bagus, mendapatkan hadiahnya #3 Multi DO;21.24.07;"""swakriya|kerajinan|kerajinan-kerajinan|kejailan|kejailan-kejailan|tantangan|tantangan-tantangan|seru|lucu|multi do|multido|jail|teman|ramah|tutorial|kiat|cara""";2021-07-20T23:00:17Z;311579;1740;392;72;https://i.ytimg.com/vi/STiGm6k8M_I/default.jpg;-
q4gQ2XGcwms;UC14UlmYlSNiQCBe9Eookf_A;FC Barcelona;⚽️🎥 HIGHLIGHTS |  Barça 4-0 Nàstic (FIRST MATCH OF PRE SEASON!);21.24.07;"""FC Barcelona|برشلونة،|Fútbol|FUTBOL|soccer|FUTEBOL|Sepakbola|サッカー|كرة القدم|football|FCB|Barça|Sport|Club|Barcelona|CAMP NOU|ter stegen|pique|busquets|messi|goat|leo messi|dembele|neto|lenglet|griezmann|antoine griezmann|yt:cc=on|ansu fati|riqui puig|koeman|trincao|coutinho|pedri|rey manaj|collado|nastic|gimnastic tarragona|tarragona|pre season|friendly|4-0|johan cruyff stadium|2021/22""";2021-07-21T19:34:58Z;1817900;65246;915;2022;https://i.ytimg.com/vi/q4gQ2XGcwms/default.jpg;-
